SM4 | ANF_CSE_LS-primitive depth=1187   size=1246   Toffoli_N=2899   Depth_N=2435  ancilla=105 ops={'cx': 538, 'mcx': 406, 'ccx': 289, 'measure': 8, 'x': 5}
SM4 | ANF_CSE_LS-transpiled depth=55766  size=81688 ancilla=105 ops={'u': 49616, 'cx': 32064, 'measure': 8}
SM4 | ANF_CSE_LS-primitive depth=1188   size=1256   Toffoli_N=2832   Depth_N=2398  ancilla=110 ops={'cx': 557, 'mcx': 397, 'ccx': 289, 'measure': 8, 'x': 5}
SM4 | ANF_CSE_LS-transpiled depth=54442  size=79478 ancilla=110 ops={'u': 48279, 'cx': 31191, 'measure': 8}
SM4 | ANF_CSE_LS-primitive depth=1196   size=1266   Toffoli_N=2826   Depth_N=2408  ancilla=115 ops={'cx': 565, 'mcx': 399, 'ccx': 289, 'measure': 8, 'x': 5}
SM4 | ANF_CSE_LS-transpiled depth=54132  size=79018 ancilla=115 ops={'u': 47975, 'cx': 31035, 'measure': 8}
SM4 | ANF_CSE_LS-primitive depth=1205   size=1276   Toffoli_N=2811   Depth_N=2413  ancilla=120 ops={'cx': 574, 'mcx': 400, 'ccx': 289, 'measure': 8, 'x': 5}
SM4 | ANF_CSE_LS-transpiled depth=53651  size=78134 ancilla=120 ops={'u': 47446, 'cx': 30680, 'measure': 8}
SM4 | ANF_CSE_LS-primitive depth=1210   size=1286   Toffoli_N=2777   Depth_N=2406  ancilla=125 ops={'cx': 590, 'mcx': 394, 'ccx': 289, 'measure': 8, 'x': 5}
SM4 | ANF_CSE_LS-transpiled depth=52966  size=77372 ancilla=125 ops={'u': 46928, 'cx': 30436, 'measure': 8}
SM4 | ANF_CSE_LS-primitive depth=1222   size=1296   Toffoli_N=2727   Depth_N=2398  ancilla=130 ops={'cx': 610, 'mcx': 384, 'ccx': 289, 'measure': 8, 'x': 5}
SM4 | ANF_CSE_LS-transpiled depth=52050  size=76342 ancilla=130 ops={'u': 46238, 'cx': 30096, 'measure': 8}
SM4 | ANF_CSE_LS-primitive depth=1229   size=1306   Toffoli_N=2677   Depth_N=2385  ancilla=135 ops={'cx': 630, 'mcx': 374, 'ccx': 289, 'measure': 8, 'x': 5}
SM4 | ANF_CSE_LS-transpiled depth=51016  size=75312 ancilla=135 ops={'u': 45548, 'cx': 29756, 'measure': 8}
